TransN, Trans
RotN, Rot
HipN, Hip
ThrowN, Throw
LLegJ, LegL
RLegJ, LegR
WaistN, Waist
LKneeJ, KneeL
RKneeJ, KneeR
LFootJ, FootL
RFootJ, FootR
LToeN, ToeL
RToeN, ToeR
BustN, Bust
NeckN, Neck
LShoulderN, ClavicleL
RShoulderN, ClavicleR
RShoulderJ, ShoulderR
LShoulderJ, ShoulderL
RArmJ, ArmR
LArmJ, ArmL
RHandN, HandR
LHandN, HandL
RHaveN, HaveR
LHaveN, HaveL
RFingerBaseN, FingerR10
LFingerBaseN, FingerL10
RThumb1N, FingerR51
LThumb1N, FingerL51
RThumb2N, FingerR52
LThumb2N, FingerL52
RThumb3N, FingerR53
LThumb3N, FingerL53
RIndex1N, FingerR11
LIndex1N, FingerL11
RIndex2N, FingerR12
LIndex2N, FingerL12
RIndex3N, FingerR13
LIndex3N, FingerL13
RMiddleN, FingerR20
LMiddleN, FingerL20
RMiddle1N, FingerR21
LMiddle1N, FingerL21
RMiddle2N, FingerR22
LMiddle2N, FingerL22
RMiddle3N, FingerR23
LMiddle3N, FingerL23
RRingN, FingerR30
LRingN, FingerL30
RRing1N, FingerR31
LRing1N, FingerL31
RRing2N, FingerR32
LRing2N, FingerL32
RRing3N, FingerR33
LRing3N, FingerL33
RPinkyN, FingerR40
LPinkyN, FingerL40
RPinky1N, FingerR41
LPinky1N, FingerL41
RPinky2N, FingerR42
LPinky2N, FingerL42
RPinky3N, FingerR43
LPinky3N, FingerL43
HeadN, Head
